Sample_ID,Pop_ID,K1,K2
FF68_CN70,FF68_CN70,0.099,0.901
FF68_CN71,FF68_CN71,0.886,0.114
FF68_CN72,FF68_CN72,0.542,0.458
FF68_CN73,FF68_CN73,0,1
FF68_CN74,FF68_CN74,0,1
FF68_CN75,FF68_CN75,0.138,0.862
FF68_CN76,FF68_CN76,0,1
FF68_CN77,FF68_CN77,0,1
FF68_CN78,FF68_CN78,0.272,0.728
FF68_CN79,FF68_CN79,0.496,0.504
FF68_CN8,FF68_CN8,0.274,0.726
FF68_CN80,FF68_CN80,0.394,0.606
FF68_CN81,FF68_CN81,0.231,0.769
FF68_CN82,FF68_CN82,0.346,0.654
FF68_CN83,FF68_CN83,0,1
FF68_CN84,FF68_CN84,0.228,0.772
FF68_CN85,FF68_CN85,0,1
FF68_CN86,FF68_CN86,0.508,0.492
FF68_CN87,FF68_CN87,0.117,0.883
FF68_CN88,FF68_CN88,0.69,0.31
FF68_CN89,FF68_CN89,0.069,0.931
FF68_CN9,FF68_CN9,0.609,0.391
FF68_CN90,FF68_CN90,0.413,0.587
FF68_CN91,FF68_CN91,0.52,0.48
FF68_CN92,FF68_CN92,0.15,0.85
FF68_CN93,FF68_CN93,0.799,0.201
FF68_CN94,FF68_CN94,0,1
FF68_CN95,FF68_CN95,0,1
FF68_CN96,FF68_CN96,0,1
FF68_CN97,FF68_CN97,0,1
FF68_CN98,FF68_CN98,0,1
FF68_CN99,FF68_CN99,0,1
